Unnamed: 0,t,dist,I,coll,var
460,69.0,5757.358956721783,250,vanilla,fixed
461,81.0,4872.032657551273,250,vanilla,fixed
462,70.0,5378.280382969776,250,vanilla,fixed
463,80.0,5664.974852647892,250,vanilla,fixed
464,66.0,5195.138032851026,250,vanilla,fixed
465,84.0,4791.053906884697,250,vanilla,fixed
466,75.0,5735.183562061323,250,vanilla,fixed
467,76.0,5574.2876705482495,250,vanilla,fixed
468,55.0,5077.676874512164,250,vanilla,fixed
469,86.0,5117.073525866368,250,vanilla,fixed
470,83.0,4996.9183026739,250,vanilla,fixed
471,53.0,5440.711582834644,250,vanilla,fixed
472,68.0,5180.948537793288,250,vanilla,fixed
473,73.0,4406.410747263888,250,vanilla,fixed
474,75.0,5323.975683473585,250,vanilla,fixed
475,71.0,5408.794144999853,250,vanilla,fixed
476,70.0,5357.245265388613,250,vanilla,fixed
477,54.0,5496.323887587399,250,vanilla,fixed
478,43.0,4654.131665536502,250,vanilla,fixed
479,72.0,5723.360551653847,250,vanilla,fixed
480,83.0,5872.455476649283,250,vanilla,fixed
481,83.0,5257.55785115998,250,vanilla,fixed
482,72.0,5365.292751121509,250,vanilla,fixed
483,74.0,4981.4422907529,250,vanilla,fixed
484,46.0,5279.74723010504,250,vanilla,fixed
485,68.0,5620.200656557813,250,vanilla,fixed
486,55.0,5240.374069283906,250,vanilla,fixed
487,85.0,5909.684150856165,250,vanilla,fixed
488,63.0,5512.83838063633,250,vanilla,fixed
489,74.0,5346.878908005613,250,vanilla,fixed
490,86.0,5274.721550651661,250,vanilla,fixed
491,81.0,4973.85302353763,250,vanilla,fixed
492,83.0,5692.164129437754,250,vanilla,fixed
493,68.0,5335.833651690612,250,vanilla,fixed
494,54.0,5036.80200323106,250,vanilla,fixed
495,50.0,5507.437910611611,250,vanilla,fixed
496,60.0,5461.938894812329,250,vanilla,fixed
497,122.0,5156.389629913993,250,vanilla,fixed
498,73.0,5290.273218569645,250,vanilla,fixed
499,136.0,5862.540722636163,250,vanilla,fixed
500,62.0,4860.198535156334,250,vanilla,fixed
501,77.0,4992.590679059354,250,vanilla,fixed
502,69.0,5112.718067038374,250,vanilla,fixed
503,52.0,5074.436903838106,250,vanilla,fixed
504,82.0,5106.0720865048725,250,vanilla,fixed
505,65.0,5080.783889009673,250,vanilla,fixed
506,78.0,5874.224060190916,250,vanilla,fixed
507,70.0,4701.62440588486,250,vanilla,fixed
508,80.0,5076.00440328677,250,vanilla,fixed
